userId,movieId,rating
7664,508,2.5
1184,1767,5.0
16224,4636,3.5
44305,979,4.5
49914,61,5.0
1851,2621,3.5
4248,132,4.0
45823,2887,4.0
14624,1985,3.5
705,738,4.0
21293,2152,5.0
12295,707,4.0
29211,195,4.0
13966,989,3.0
1221,4677,4.0
41045,750,3.5
148,142,1.0
1736,1179,1.0
38903,2340,4.0
14383,1371,4.0
9601,240,0.5
2422,558,3.0
5845,15,3.0
15947,318,4.0
10328,993,3.0
8803,3400,4.0
11591,928,4.0
1169,483,2.0
49808,629,5.0
22153,4806,1.0
2513,1793,4.0
25428,169,3.5
14101,30,3.0
10074,363,4.5
11332,2604,3.5
16850,291,4.0
41617,1619,4.0
10080,1306,4.5
39904,294,3.0
13589,1746,2.5
16175,626,5.0
16554,896,4.0
1268,6202,4.0
23718,2491,1.0
340,3700,2.5
31178,4872,3.0
33990,645,4.0
43860,988,3.5
4479,883,2.0
47326,326,4.0
26009,694,4.0
10722,875,2.5
12266,343,4.0
33171,3689,4.0
2403,439,5.0
3963,3439,3.0
20956,3164,4.5
43136,568,5.0
3366,403,4.0
572,505,2.0
7672,5855,3.5
38361,320,3.5
24005,1042,4.0
2220,2180,4.0
12205,2025,2.0
9367,393,3.0
37635,2102,3.5
31345,241,5.0
21569,516,4.5
36534,994,3.0
575,508,3.0
23247,1361,5.0
447,1053,4.0
12435,41,5.0
1182,1451,1.0
24785,593,3.0
33209,375,2.5
40367,6825,4.5
12041,1508,3.0
25271,2373,2.0
25068,689,3.0
39102,1610,4.0
4095,1992,1.0
41354,1020,3.0
20988,4184,3.0
51955,243,3.5
18390,547,4.0
12988,4429,2.0
39719,256,5.0
19192,1202,2.0
32862,1675,4.0
22958,4087,2.0
13257,1357,5.0
548,3445,4.0
39920,2235,2.0
2440,486,3.0
18519,760,3.5
35586,985,4.0
12205,3467,4.0
42162,172,3.0
34339,659,5.0
34288,1856,4.0
46352,164,5.0
39822,1188,4.0
4925,1724,2.0
30852,2380,4.5
28094,1422,3.0
11990,3602,2.5
50156,2380,5.0
44396,983,4.0
17908,2786,3.0
5647,1781,3.0
7752,3106,5.0
12186,1286,4.0
15989,839,2.0
40232,791,5.0
1695,622,3.0
13229,1392,2.5
17799,718,3.5
14597,1968,5.0
46425,1835,3.0
14589,19,1.5
49457,265,3.0
38774,2090,4.0
34405,2427,5.0
21633,468,3.5
14004,240,3.5
23634,15,3.0
12735,4070,3.5
15295,61,3.0
13754,2063,4.5
36714,202,3.0
29143,1225,2.0
28150,2237,5.0
43195,463,3.0
20447,5262,4.5
20324,79,5.0
1427,7627,4.0
50758,482,4.0
4738,75,2.0
4921,2127,4.5
10937,2296,3.5
31161,2263,4.0
11208,43,3.0
25196,598,2.0
740,5871,1.0
5009,776,2.0
4092,747,3.5
38800,3496,4.0
7336,1551,4.0
36575,3059,2.0
49047,1607,4.0
29267,307,5.0
857,689,3.0
51644,169,4.0
36311,265,3.5
11981,442,3.0
26809,1759,4.0
23371,1109,5.0
11887,3919,2.0
7755,452,3.0
8441,1587,4.0
24040,1789,1.0
19232,1889,4.0
18596,107,4.0
21435,2505,5.0
18308,108,4.0
3112,968,5.0
29412,1605,3.0
32865,4663,1.0
15377,2466,4.0
17213,2007,5.0
15962,2613,3.0
12483,2069,3.5
22571,615,4.5
22554,74,4.5
41078,2986,4.0
39458,1374,5.0
9909,106,4.0
20724,1039,3.0
33211,878,5.0
3432,3031,4.0
22105,3049,5.0
16502,6474,3.5
25854,79,4.0
10364,172,4.0
45271,245,1.0
5131,2431,4.0
41751,2154,4.0
1757,306,4.0
15032,1620,4.0
2252,540,5.0
5147,737,2.5
13955,968,5.0
4950,2922,2.5
12490,940,2.0
15984,683,4.0
34529,938,5.0
23249,1468,5.0
633,1169,2.0
12980,791,4.0
21421,226,5.0
13564,945,5.0
25615,2127,3.0
9412,9,4.0
49310,1626,4.0
684,563,3.5
14854,5685,3.5
15121,293,4.0
19631,535,4.0
7853,240,5.0
4029,121,3.0
812,508,3.0
7498,1619,3.0
48655,1764,3.5
1236,338,2.5
12792,463,2.0
24830,2527,4.0
19627,463,2.5
12418,5325,2.5
6086,677,4.0
267,257,3.0
8035,134,4.0
342,1471,4.0
944,30,3.0
18213,730,5.0
47036,1858,2.5
2441,1500,5.0
26369,245,3.0
10241,1231,2.0
36862,650,4.0
581,2380,4.5
22294,453,5.0
15813,1037,4.0
46880,1441,1.0
20859,438,4.0
6566,490,3.5
6580,1596,4.0
31114,41,4.5
1929,172,4.0
12877,1643,4.0
14995,3215,3.5
2414,3335,3.0
5972,105,4.0
17612,1193,3.0
28525,166,3.0
7506,619,0.5
8280,759,1.0
48216,6937,5.0
27065,444,4.0
46665,699,5.0
472,1528,3.5
3924,5631,3.0
29394,1055,4.0
28126,1977,3.5
45870,468,4.0
9757,3235,4.0
36018,6996,5.0
8969,2378,2.0
28182,143,3.5
1303,3848,2.5
35533,805,4.5
34806,5496,3.5
4195,1306,3.0
41036,909,5.0
23360,3129,3.0
29519,2381,2.5
36899,1900,1.0
10717,3299,2.0
41488,917,3.0
7935,1596,3.5
28812,595,4.0
23271,388,3.5
30972,4001,4.0
50689,1627,4.5
17742,1836,4.5
14644,839,4.0
4383,2719,4.5
51634,41,3.0
19012,990,5.0
33334,1388,4.0
37173,2297,3.5
23470,326,4.0
38130,7220,5.0
49742,502,3.0
45794,774,3.5
20147,6810,4.0
24947,3168,4.5
42228,4948,2.5
15096,253,2.5
9353,1835,1.0
30054,3852,4.0
11382,1,4.5
7540,1113,4.0
33944,3075,3.0
11972,26,4.0
23213,354,4.0
15329,81,4.0
16517,482,4.0
260,362,3.0
16973,2683,5.0
26538,1378,3.0
7764,375,2.0
9473,502,4.0
29003,5050,4.0
44684,444,1.0
21077,3661,1.0
1153,8247,4.0
9045,53,3.5
25473,917,1.0
781,998,2.0
16256,1875,2.0
5201,767,1.0
12207,1479,2.5
34206,288,4.5
7345,2032,5.0
22019,5497,2.0
41481,729,4.5
17359,7465,4.0
10232,302,3.0
29994,2297,4.0
26598,96,2.0
51210,630,4.0
39002,1573,4.0
10577,1661,3.0
41401,156,4.0
8494,282,1.5
47630,4499,5.0
14194,1517,4.0
6676,311,3.0
38228,3746,3.0
38362,120,3.0
11080,1806,5.0
22689,2955,3.5
45300,1664,5.0
17839,5883,2.5
29893,95,3.0
7302,2250,4.0
14464,2970,4.0
5179,3484,3.5
27620,1334,4.0
44473,256,4.5
13788,5258,4.0
19387,1639,2.0
38377,3753,5.0
6869,2166,3.0
10472,246,3.0
13613,1439,3.0
32053,362,4.5
25357,3734,4.0
12119,1053,3.5
49162,327,4.0
10790,305,4.0
14577,2387,3.0
16218,707,4.0
24481,1850,5.0
45446,427,3.5
49199,1734,3.5
43635,1223,1.5
15132,1615,4.5
16416,6405,1.0
25612,3008,4.0
38193,2578,4.0
21108,529,3.0
47404,791,3.0
2876,327,5.0
1706,1168,4.0
5582,2778,2.0
864,1434,5.0
21312,2871,2.0
41594,2682,5.0
5108,477,3.0
27393,1023,4.0
25350,2081,5.0
7706,391,3.0
5803,368,5.0
36146,261,3.5
22503,1744,4.0
7202,7685,4.5
15094,1167,4.0
42703,7642,4.5
10055,1599,5.0
27236,393,2.5
26851,79,5.0
6357,7196,5.0
4040,2098,4.0
40169,750,5.0
224,215,3.0
27302,1040,4.5
43986,964,4.0
10303,1473,4.5
3750,41,5.0
47155,2256,5.0
10260,446,4.0
39178,650,5.0
15160,362,5.0
24046,105,4.0
11646,3,4.5
8729,5970,3.5
25406,2614,4.0
8169,1607,3.0
20728,326,5.0
10525,1631,3.0
42386,227,5.0
33806,1569,4.0
24688,699,4.0
4390,828,4.0
38031,3193,2.0
37925,1,4.0
86,82,4.5
30474,157,3.5
7317,1777,4.0
29474,2953,3.5
813,3602,5.0
19398,4009,4.0
44975,70,3.0
25070,562,3.0
23202,332,4.5
22065,984,4.0
9915,7726,3.0
6210,1868,3.0
8,760,5.0
8906,41,3.0
15186,2210,1.0
49638,2314,3.0
22065,6827,2.0
10832,3724,1.0
5731,1466,0.5
24898,354,5.0
1216,902,4.0
15154,790,3.0
21514,164,5.0
28518,265,4.5
27148,1357,3.5
24357,7384,1.0
51653,124,5.0
44376,1254,5.0
21384,202,4.0
44272,79,4.0
1034,74,4.5
51448,994,5.0
2401,1615,1.5
28750,188,3.5
7226,739,5.0
2667,4146,4.0
14620,1885,4.0
22605,362,4.0
9880,502,2.0
21182,189,2.5
21566,2355,2.0
6696,5764,4.0
11598,201,4.0
26305,1691,4.0
32042,703,3.0
32307,4642,3.0
47246,972,3.0
38506,61,5.0
2833,3320,0.5
4261,1334,3.0
13765,4253,2.0
35866,1532,3.0
21863,1361,4.0
18953,4015,4.0
4174,594,4.0
16700,477,4.0
39005,368,3.0
18103,1609,4.5
28729,1209,5.0
45830,268,3.0
11815,3659,5.0
11729,1255,5.0
25339,150,3.5
1886,3464,3.5
2055,261,4.0
33022,332,5.0
47590,595,5.0
7948,1794,4.0
36088,3564,1.5
18571,990,3.0
10888,650,4.0
12616,906,2.0
2065,2213,3.0
50659,6383,0.5
18701,4029,4.0
4982,571,3.0
1317,594,4.0
2295,1444,5.0
46376,53,3.5
30955,2309,4.5
3686,2024,4.5
10374,1252,4.0
26148,3256,4.5
11455,4451,3.0
9727,161,3.0
34547,846,4.5
13871,311,4.0
15610,284,4.5
2223,90,4.5
37299,605,3.0
16086,852,4.0
3260,1241,4.0
1307,608,4.0
26206,2471,4.0
16388,1860,3.0
6449,364,4.0
49876,1472,1.0
7626,1508,5.0
5443,441,3.5
8611,1787,1.0
16606,2194,4.0
35016,3474,4.0
33089,481,4.0
44035,988,4.0
19850,1468,5.0
21314,3570,4.0
14928,4447,0.5
18097,115,2.0
33403,537,3.0
37192,1938,5.0
30123,479,4.0
2222,868,4.0
36038,4223,3.0
50904,2000,5.0
11592,4353,3.0
23523,5686,3.0
969,825,4.0
13357,558,3.5
10926,4104,3.0
3694,2263,1.0
44597,499,2.0
36720,84,5.0
10533,842,3.0
6836,1118,3.0
6243,1255,4.0
41210,3187,5.0
31802,1627,3.0
1386,1002,4.0
20358,3162,3.5
39552,329,3.0
45505,1439,3.5
15349,2705,4.0
16531,1775,3.5
37190,152,3.5
1314,1462,4.0
50773,344,4.0
873,233,5.0
3311,3606,3.5
12067,1893,4.5
30863,1547,4.0
24349,1475,3.0
3940,1584,3.0
3131,568,3.0
2839,1029,5.0
3329,1796,3.0
9181,5142,3.0
17955,152,4.0
46216,527,3.0
1608,400,3.5
1303,960,3.0
50652,724,5.0
20444,880,3.0
31156,181,5.0
29452,2426,3.0
32402,392,3.5
4667,4728,2.0
1334,977,3.0
4537,1446,3.5
41590,1573,3.0
18144,1037,3.0
48149,9,4.0
7650,2341,3.0
18072,1734,4.0
15365,525,3.0
3265,161,2.0
42569,442,3.5
9915,6060,5.0
10113,229,4.0
23053,730,3.5
24367,687,4.0
15479,482,5.0
37528,529,4.0
38276,450,4.0
1227,6712,0.5
9819,1399,3.0
1530,51,5.0
30711,240,3.0
4286,2170,3.5
20530,2257,4.0
4894,2687,5.0
46569,7968,3.5
9492,64,2.5
916,681,5.0
13723,2906,2.0
14572,1618,1.0
22006,243,3.5
22650,932,4.0
32850,311,5.0
15494,429,5.0
18663,188,4.0
5190,5183,4.0
39680,113,4.5
8224,172,3.0
5834,1893,3.5
46165,1734,3.0
26274,644,5.0
30714,7540,4.5
36689,245,3.0
33056,1772,3.5
1005,806,4.0
20797,1029,2.0
38700,4601,5.0
32213,868,4.5
28866,985,3.0
11985,725,3.5
41869,1255,3.0
15440,699,2.0
1046,700,4.5
4132,101,2.0
25116,1109,4.0
7428,3852,5.0
1506,1301,2.5
1413,1019,5.0
18884,1694,4.5
24973,37,2.0
9433,1262,4.0
17771,2371,2.0
43112,650,5.0
7347,4057,4.0
39281,1858,4.0
5682,98,3.5
19042,1774,3.5
22062,491,2.0
11083,74,4.0
582,514,3.5
26664,1317,3.0
17220,1613,4.5
28067,108,2.0
10939,3165,5.0
28769,1020,5.0
11690,1979,3.0
988,314,2.5
4913,956,4.0
46573,502,3.0
5691,865,3.0
26562,113,4.5
44852,1300,3.0
824,670,5.0
29022,1416,2.5
45294,1255,5.0
25586,2556,4.5
8334,1730,2.5
39950,302,5.0
8085,70,3.0
80,2257,3.5
11709,2855,3.5
50646,24,4.0
13575,2545,3.5
18414,4952,4.0
38081,226,4.0
32177,365,4.5
24907,1008,2.5
25984,2335,3.5
24696,528,4.0
12235,773,3.0
17766,2523,5.0
12784,243,4.0
4598,3282,5.0
10146,1198,3.0
8970,2778,3.0
275,265,4.0
1808,341,3.0
5729,560,5.0
14768,502,4.0
19526,5166,2.5
12153,2101,3.0
8676,982,2.0
17610,2543,4.0
8998,181,3.5
13222,2767,5.0
43793,3419,5.0
7762,493,4.0
25185,1641,3.0
8442,7136,3.0
4866,5477,0.5
18390,172,5.0
31613,2380,4.0
23513,479,3.5
1551,1101,0.5
7721,1348,5.0
34602,2147,3.0
5347,5396,4.0
14141,41,4.5
11458,4583,3.0
4389,1080,4.0
